kinectAngles
version = 1
nRows=66
nColumns=22
inDegrees = yes
endheader

Time	pelvis_tx	pelvis_ty	pelvis_tz	hip_adduction_l	hip_rotation_l	hip_flexion_l	hip_adduction_r	hip_rotation_r	hip_flexion_r	knee_angle_l	ankle_angle_l	elbow_flexion_l	knee_angle_r	ankle_angle_r	elbow_flexion_r	arm_flexion_l	arm_adduction_l	arm_flexion_r	arm_adduction_r	pelvis_list	pelvis_tilt	pelvis_rotation
1.6	0	0	0	85.1193	31.9523	31.4886	89.5446	79.3058	79.2959	178.8221	130.6586	164.8105	177.7459	131.3418	153.0411	9.9542	28.4544	18.1126	20.6033	5.6666	0.6743	84.2931
1.63	0	0	0	85.2016	31.9813	31.5334	89.515	79.2186	79.2074	178.9303	130.5732	162.8167	178.0396	131.4896	163.5621	6.8567	24.2909	16.8332	18.8132	5.6562	0.722	84.2976
1.67	0	0	0	85.1025	32.0042	31.5378	89.3501	79.1736	79.1536	178.9504	130.2405	167.7395	177.9262	131.553	169.9953	5.1467	21.8003	15.4318	17.6826	5.6841	0.7649	84.2644
1.7	0	0	0	84.8473	32.439	31.9265	89.2684	79.5386	79.5125	178.7484	130.577	170.7023	177.9392	131.6265	171.0308	4.7114	19.9529	14.1184	15.6686	5.7152	0.8166	84.2265
1.73	0	0	0	84.6225	32.897	32.3428	89.1895	79.9019	79.8687	178.609	130.5199	168.691	177.7995	131.5951	169.3699	4.7378	18.0335	12.7022	14.2283	5.7675	0.8409	84.1711
1.77	0	0	0	84.4074	33.6309	33.0382	89.0429	80.1902	80.1427	178.4629	130.9038	170.5282	177.7091	131.7162	164.9496	4.8401	17.4263	12.4444	13.9215	5.7997	0.7979	84.1452
1.8	0	0	0	84.4957	33.7393	33.1661	89.112	80.356	80.3144	178.4495	131.3336	171.8716	177.7313	131.8169	163.4563	4.8835	17.431	12.1055	13.6513	5.8138	0.7863	84.1329
1.83	0	0	0	84.5052	33.7755	33.2047	89.1358	80.4828	80.4429	178.5488	131.379	171.6214	177.7514	131.8181	162.078	4.8721	17.6594	11.6595	13.3893	5.8155	0.7866	84.1311
1.87	0	0	0	84.455	33.945	33.3651	89.1108	80.6593	80.6164	178.451	131.2571	165.5112	177.836	131.8225	157.3203	4.9664	18.1404	11.6004	13.4487	5.8338	0.8128	84.1092
1.9	0	0	0	84.4641	33.943	33.3651	89.1044	80.6559	80.6123	178.5172	131.9639	160.5506	177.7628	131.8538	149.8156	5.0945	18.9509	11.4901	14.0837	5.8892	0.8067	84.0555
1.93	0	0	0	84.4586	33.9375	33.3583	89.0718	80.6453	80.5985	178.4908	132.0148	157.3099	177.7565	131.8686	141.0193	5.6018	20.7779	11.2907	15.4928	5.8976	0.8316	84.0436
1.97	0	0	0	84.4906	33.9146	33.3419	89.0752	80.6457	80.5993	178.4564	131.5961	154.6884	177.7833	131.6341	130.5393	6.4322	22.1745	10.8077	16.4362	5.917	0.8386	84.0235
2	0	0	0	84.5023	33.8472	33.2763	89.0394	80.5528	80.5032	178.868	131.8608	153.5527	177.8158	131.5648	116.6944	7.4057	23.4258	9.8157	18.5582	5.9296	0.8981	84.0024
2.03	0	0	0	84.4957	33.7412	33.1681	88.9996	80.4841	80.4307	178.8035	132.3173	153.9149	177.7434	131.3722	103.9443	8.5039	24.1657	7.0629	22.7288	5.976	0.9405	83.9499
2.07	0	0	0	84.4756	33.7138	33.1363	88.9683	80.6676	80.6097	178.5961	132.2623	154.0127	177.674	131.3765	93.7532	9.7404	24.7252	5.0199	23.186	6.125	1.007	83.7922
2.1	0	0	0	84.3723	33.5302	32.9292	88.7732	80.502	80.4216	178.6018	132.2807	154.6805	177.7063	131.3614	83.8767	10.6069	24.9974	1.1269	26.9243	6.0626	1.1712	83.8245
2.13	0	0	0	84.4033	33.4295	32.8342	88.7828	80.3864	80.3082	178.7044	132.4683	154.9554	177.7583	131.6442	78.0832	11.2231	25.0276	1.3633	26.3957	6.1191	1.252	83.7531
2.17	0	0	0	84.5665	33.7974	33.2394	88.924	80.4757	80.414	178.4909	131.8907	155.6954	177.9979	131.7944	84.3991	11.7412	24.6745	8.7261	26.2494	6.1916	1.325	83.6671
